コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	注意フラグ	要確認理由	配当ランキング利用可否	記事掲載区分	yfinance状態	売上高_直近期(百万円)	営業利益率(%)	売上成長率_YoY(%)	自己資本比率(%)	DEレシオ	FCF(百万円)	EPS(円)	配当性向(%)	ROE(%)	連続増配(年)
1301	極洋	プライム（内国株式）	50	水産・農林業	1	食品	6	TOPIX Small 1	4370.0	3.66	160.0	3.62	160.0	3.66	配当あり	いいえ	7.58	0.67	519.0	5450.0	4165.0	Consumer Defensive			OK	通常掲載可	OK	334612.0	3.21	10.55	36.12	1.19	-745.0	576.16	27.77	8.88	1
130A	Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ	グロース（内国株式）	3250	医薬品	5	医薬品	-	-	431.0						配当未取得			1.57	28.0	940.0	390.0	Healthcare	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	91.1	-435.32	-53.18	94.64		-330.5	-65.62		-21.32	
1332	ニッスイ	プライム（内国株式）	50	水産・農林業	1	食品	4	TOPIX Mid400	1284.0	2.49	32.0	2.45	32.0	2.49	配当あり	いいえ	14.24	1.3	3894.0	1570.0	859.0	Consumer Defensive			OK	通常掲載可	OK	931265.0	4.34	5.09	40.04	0.9	8889.0	90.18	35.48	9.92	6
1333	Ｕｍｉｏｓ	プライム（内国株式）	50	水産・農林業	1	食品	4	TOPIX Mid400	1308.0	3.52	46.0	3.5	46.0	3.52	配当あり	いいえ	8.92	0.8	1977.5	1589.0	1005.0	Consumer Defensive			OK	通常掲載可	OK	1105890.0	2.82	2.53	32.89	1.24	-1743.0	146.7	31.36	9.96	4
135A	ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	4250.0						配当未取得		67.06	29.44	435.9	4790.0	1910.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	3278.0	27.91	52.89	64.82	0.19	-475.0	63.38		43.9	
1375	ユキグニファクトリー	プライム（内国株式）	50	水産・農林業	1	食品	7	TOPIX Small 2	1127.0	1.77	20.0	1.77	20.0	1.77	配当あり	いいえ	15.2	3.04	449.5	1149.0	1000.0	Consumer Defensive			OK	通常掲載可	OK	53449.0	8.08	0.58	39.19	1.07	3296.0	74.16	26.97	21.65	2
1376	カネコ種苗	スタンダード（内国株式）	50	水産・農林業	1	食品	7	TOPIX Small 2	1462.0	3.28	48.0	3.32	48.0	3.28	配当あり	いいえ	12.58	0.63	160.3	1859.0	1350.0	Basic Materials			OK	通常掲載可	OK	64508.7	2.34	4.72	50.72		-1138.4	116.24	41.29	5.16	4
1377	サカタのタネ	プライム（内国株式）	50	水産・農林業	1	食品	6	TOPIX Small 1	4180.0	1.91	80.0	1.9	80.0	1.91	配当あり	いいえ	15.64	1.02	1766.5	4630.0	3310.0	Consumer Defensive			OK	通常掲載可	OK	92920.0	13.19	4.78	84.46	0.02	-2606.0	267.34	29.92	6.31	5
1379	ホクト	プライム（内国株式）	50	水産・農林業	1	食品	7	TOPIX Small 2	1828.0	3.39	62.0	3.32	62.0	3.39	配当あり	いいえ	9.53	0.88	573.0	2123.0	1779.0	Consumer Defensive			OK	通常掲載可	OK	85915.0	8.18	3.38	57.09	0.47	5901.0	191.84	32.32	11.51	0
137A	Ｃｏｃｏｌｉｖｅ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	760.0						配当未取得		12.36	6.21	22.9	1585.0	549.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	1301.8	21.48	26.66	84.09	0.0	221.4	61.5		50.24	
1380	秋川牧園	スタンダード（内国株式）	50	水産・農林業	1	食品	-	-	1000.0	1.0	10.0	1.0	10.0	1.0	配当あり	いいえ	192.68	1.92	41.7	1245.0	979.0	Consumer Defensive			OK	通常掲載可	OK	7957.5	-0.04	7.64	30.62	1.57	255.5	5.19	192.68	0.96	0
1381	アクシーズ	スタンダード（内国株式）	50	水産・農林業	1	食品	-	-	3500.0	3.21	112.5	3.14	112.5	3.21	配当あり	いいえ	8.79	0.84	196.5	4600.0	2854.0	Consumer Defensive			OK	通常掲載可	OK	26426.0	8.03	2.28	86.14	0.0	870.0	398.29	28.25	12.04	4
1382	ホーブ	スタンダード（内国株式）	50	水産・農林業	1	食品	-	-	1381.0	3.62	50.0	3.5	50.0	3.62	配当あり	いいえ		1.45	10.5	3645.0	1380.0	Consumer Defensive			OK	通常掲載可	OK	2412.7	1.58	-4.22	70.69	0.01	-5.0	-9.3		-1.47	0
1383	ベルグアース	スタンダード（内国株式）	50	水産・農林業	1	食品	-	-	2875.0	0.35	10.0	0.35	10.0	0.35	配当あり	いいえ	43.75	2.2	46.0	3365.0	2803.0	Consumer Defensive			OK	通常掲載可	OK	7303.5	-0.45	2.94	34.92	1.14	-239.4	65.72	15.22	4.86	0
1384	ホクリヨウ	スタンダード（内国株式）	50	水産・農林業	1	食品	-	-	2048.0	3.91	80.0	3.92	80.0	3.91	配当あり	いいえ	4.49	1.75	173.2	3385.0	1560.0	Consumer Defensive			OK	通常掲載可	OK	19397.0	9.96	2.62	73.65	0.11	1072.0	456.59	17.52	11.24	4
138A	光フードサービス	グロース（内国株式）	6100	小売業	14	小売	-	-	2961.0	1.62	48.0	1.63	48.0	1.62	配当あり	いいえ	28.66	2.24	29.4	3540.0	2000.0	Consumer Cyclical			OK	通常掲載可	OK	2861.8	7.89	11.49	49.39	0.63	40.7	103.32	46.46	8.01	0
1401	エムビーエス	グロース（内国株式）	2050	建設業	3	建設・資材	-	-	1300.0	1.15	15.0	1.15	15.0	1.15	配当あり	いいえ	17.78	2.42	90.1	1977.0	1141.0	Industrials			OK	通常掲載可	OK	4713.0	13.28	8.18	75.78	0.0	467.1	73.1	20.52	14.21	4
1407	ウエストホールディングス	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	2383.0	2.94	70.0	2.88	70.0	2.94	配当あり	いいえ	18.28	2.75	945.1	3270.0	1294.0	Utilities			OK	通常掲載可	OK	47250.0	18.3	-6.23	24.38	2.6	182.0	130.33	53.71	16.05	0
1414	ショーボンドホールディングス	プライム（内国株式）	2050	建設業	3	建設・資材	4	TOPIX Mid400	1249.0	3.64	45.5	3.63	45.5	3.64	配当あり	いいえ	17.33	2.42	2510.0	1537.0	1152.25	Industrials			OK	通常掲載可	OK	90712.0	22.92	6.2	81.38		8616.0	72.08	63.12	14.64	17
1417	ミライト・ワン	プライム（内国株式）	2050	建設業	3	建設・資材	4	TOPIX Mid400	3854.0	2.59	100.0	2.59	100.0	2.59	配当あり	いいえ	14.72	1.22	3403.2	4351.0	2485.5	Industrials			OK	通常掲載可	OK	602377.0	5.69	4.11	48.73	0.48	13019.0	261.84	38.19	8.61	2
1418	インターライフホールディングス	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	527.0	5.69	30.0	5.69	30.0	5.69	配当あり	いいえ	9.83	1.72	80.4	729.0	375.0	Industrials			OK	通常掲載可	OK	16336.3	7.14	-3.57	50.45	0.31	2188.3	53.6	55.97	18.63	3
1419	タマホーム	プライム（内国株式）	2050	建設業	3	建設・資材	6	TOPIX Small 1	3030.0	4.13	125.0	4.31	125.0	4.13	配当あり	いいえ	36.3	3.4	878.3	4125.0	2701.0	Consumer Cyclical			OK	通常掲載可	OK	200817.0	2.05	-18.94	37.1	0.56	512.0	83.46	149.77	10.21	4
