コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	注意フラグ	要確認理由	配当ランキング利用可否	記事掲載区分	yfinance状態	売上高_直近期(百万円)	営業利益率(%)	売上成長率_YoY(%)	自己資本比率(%)	DEレシオ	FCF(百万円)	EPS(円)	配当性向(%)	ROE(%)	連続増配(年)
2884	ヨシムラ・フード・ホールディングス	プライム（内国株式）	3050	食料品	1	食品	7	TOPIX Small 2	633.0						配当未取得		16.44	1.22	151.1	1085.0	570.0	Consumer Defensive	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	57484.6	2.73	-1.08	20.35	2.5	-3768.0	38.51		7.22	
288A	ラクサス・テクノロジーズ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	94.0						配当未取得		24.87	0.8	24.3	224.0	87.0	Consumer Cyclical	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	2275.9	8.13	-11.14	70.71	0.33	-106.5	3.78		67.93	
2892	日本食品化工	スタンダード（内国株式）	3050	食料品	1	食品	-	-	4185.0	3.58	150.0	3.64	150.0	3.58	配当あり	いいえ	17.54	0.67	200.7	4250.0	3230.0	Consumer Defensive			OK	通常掲載可	OK	62993.0	1.99	0.47	59.58	0.27	4056.0	238.55	62.88	3.99	0
2894	石井食品	スタンダード（内国株式）	3050	食料品	1	食品	-	-	326.0	1.23	4.0	1.21	4.0	1.23	配当あり	いいえ		1.42	54.3	391.0	310.0	Consumer Defensive			OK	通常掲載可	OK	10869.7	2.46	3.6	50.3	0.52	-560.7	-4.46		-3.23	0
2897	日清食品ホールディングス	プライム（内国株式）	3050	食料品	1	食品	4	TOPIX Mid400	2760.0	2.54	70.0	2.51	70.0	2.54	配当あり	いいえ	17.67	1.53	7922.8	3354.0	2527.0	Consumer Defensive			OK	通常掲載可	OK	776594.0	7.87	5.96	56.05	0.24	-14412.0	156.24	44.8	9.2	0
2901	ウェルディッシュ	スタンダード（内国株式）	3050	食料品	1	食品	-	-	194.0	2.06	4.0	2.06	4.0	2.06	配当あり	いいえ	8.91	0.93	55.5	736.0	161.0	Healthcare			OK	通常掲載可	OK	1974.4	10.16	-2.04	58.5	0.48	-167.7	21.77	18.37	10.44	0
2903	シノブフーズ	スタンダード（内国株式）	3050	食料品	1	食品	-	-	1478.0	2.3	34.0	2.3	34.0	2.3	配当あり	いいえ	9.88	1.07	158.6	2119.0	1362.0	Consumer Defensive			OK	通常掲載可	OK	61974.0	3.77	7.5	53.4	0.28	1571.0	149.63	22.72	11.22	2
2904	一正蒲鉾	スタンダード（内国株式）	3050	食料品	1	食品	-	-	753.0	1.86	14.0	1.84	14.0	1.86	配当あり	いいえ	34.35	0.9	138.0	789.0	738.0	Consumer Defensive			OK	通常掲載可	OK	34579.1	2.58	0.27	48.76	0.67	-958.6	21.92	63.87	2.9	1
2907	あじかん	スタンダード（内国株式）	3050	食料品	1	食品	-	-	1505.0	3.85	58.0	3.89	58.0	3.85	配当あり	いいえ	10.29	0.62	112.7	1523.0	1187.0	Consumer Defensive			OK	通常掲載可	OK	51045.4	3.85	1.6	64.65	0.19	2347.7	146.22	39.67	6.23	3
2908	フジッコ	プライム（内国株式）	3050	食料品	1	食品	7	TOPIX Small 2	1494.0	3.08	46.0	3.07	46.0	3.08	配当あり	いいえ	29.81	0.61	425.4	1687.0	1455.0	Consumer Defensive			OK	通常掲載可	OK	55534.0	2.64	-2.7	86.93		-1161.0	50.12	91.78	2.07	0
